age,gender,country,prefecture,wish_original,wish_ja,wish_en,wish_zh,wish_ko,flag,timestamp
21-30,男性,日本,東京都,世界平和,世界平和,World Peace,世界和平,세계 평화,🇯🇵,2025-05-04 23:52:11
31-40,女性,アメリカ,,健康で幸せな生活,健康で幸せな生活,A healthy and happy life,健康快乐的生活,건강하고 행복한 삶,🇺🇸,2025-05-04 23:52:11
11-20,回答しない,中国,,宇宙旅行に行きたい,宇宙旅行に行きたい,I want to go on a space trip,我想去太空旅行,우주 여행에 가고 싶어요,🇨🇳,2025-05-04 23:52:11
41-50,男性,韓国,,新しいスキルを学びたい,新しいスキルを学びたい,I want to learn new skills,我想学习新技能,새로운 기술을 배우고 싶습니다,🇰🇷,2025-05-04 23:52:11
51-60,女性,日本,大阪府,家族ともっと時間を過ごしたい,家族ともっと時間を過ごしたい,I want to spend more time with my family,我想花更多的时间陪伴家人,가족과 더 많은 시간을 보내고 싶습니다,🇯🇵,2025-05-04 23:52:11
61-70,男性,日本,静岡県,今からでも大学に行きたい,今からでも大学に行きたい,I want to go to university now,我想现在上大学,나는 지금 대학에 가고 싶다,🇯🇵,2025-05-04 23:52:11
31-40,回答しない,日本,島根県,バイリンガルで活躍できるジャーナリストになれますように,バイリンガルで活躍できるジャーナリストになれますように,I hope you become a bilingual journalist,我希望你成为双语记者,이중 언어 기자가되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
41-50,女性,チュニジア,,I hope that business-efficient tools will be introduced,業務効率の良いツールが導入されますように,I hope that business-efficient tools will be introduced,我希望将介绍业务效率的工具,비즈니스 효율적인 도구가 도입되기를 바랍니다,🇹🇳,2025-05-04 23:52:11
61-70,男性,日本,福島県,ロックバンドとしてメジャーデビューできますように,ロックバンドとしてメジャーデビューできますように,Hopefully they can make their major debut as a rock band,希望他们能成为摇滚乐队的主要首次亮相,바라건대 그들은 록 밴드로 메이저 데뷔를 할 수 있기를 바랍니다.,🇯🇵,2025-05-04 23:52:11
21-30,男性,日本,静岡県,修学旅行が思い出深いものになりますように,修学旅行が思い出深いものになりますように,I hope your school trip will be memorable,希望您的学校旅行会令人难忘,학교 여행이 기억에 남기를 바랍니다,🇯🇵,2025-05-04 23:52:11
70-,女性,中国,,希望您能永远与您的朋友保持亲密关系,友達とずっと仲良しでいられますように,I hope you can stay close to your friends forever,希望您能永远与您的朋友保持亲密关系,나는 당신이 영원히 친구들과 가까이있을 수 있기를 바랍니다.,🇨🇳,2025-05-04 23:52:11
41-50,女性,ペルー,,I hope remote work can continue,リモートワークが継続できますように,I hope remote work can continue,我希望远程工作可以继续,원격 작업이 계속 될 수 있기를 바랍니다,🇵🇪,2025-05-04 23:52:11
41-50,女性,韓国,,초과 근무가 줄어들고 시간이 증가하기를 바랍니다,残業が減り、自分の時間が増えますように,I hope my overtime decreases and my time increases,我希望我的加时时间有所下降，时间增加,초과 근무가 줄어들고 시간이 증가하기를 바랍니다,🇰🇷,2025-05-04 23:52:11
61-70,女性,中国,,我希望你每天都能吃美味的食物,毎日おいしくごはんが食べられますように,I hope you can eat delicious food every day,我希望你每天都能吃美味的食物,매일 맛있는 음식을 먹을 수 있기를 바랍니다,🇨🇳,2025-05-04 23:52:11
11-20,女性,日本,山形県,友達と仲良く勉強できますように,友達と仲良く勉強できますように,I hope you can study with your friends,希望你能和你的朋友一起学习,친구들과 공부할 수 있기를 바랍니다,🇯🇵,2025-05-04 23:52:11
21-30,男性,サウジアラビア,,I hope you can write poetry in languages ​​all over the world,世界中の言語で詩を詠めるようになりますように,I hope you can write poetry in languages ​​all over the world,我希望你可以用全世界的语言写诗歌,전 세계의 언어로시를 쓸 수 있기를 바랍니다.,🇸🇦,2025-05-04 23:52:11
61-70,男性,パプアニューギニア,,I hope the gap between rich and poor will be narrowed,貧富の差が縮まりますように,I hope the gap between rich and poor will be narrowed,我希望富人与穷人之间的差距将被缩小,부자와 가난한 사람의 격차가 좁아 지길 바랍니다.,🇵🇬,2025-05-04 23:52:11
21-30,男性,日本,新潟県,ごみの分別が正しく行われますように,ごみの分別が正しく行われますように,I hope that the garbage is sorted correctly,我希望垃圾正确排序,쓰레기가 올바르게 정렬되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
21-30,女性,中国,,可以以数字方式和平等的方式提供教育机会,教育機会がデジタルで平等に提供されますように,May educational opportunities be provided digitally and equally,可以以数字方式和平等的方式提供教育机会,교육 기회가 디지털적이고 동일하게 제공 될 수 있습니다,🇨🇳,2025-05-04 23:52:11
70-,男性,グアテマラ,,I hope you can appear in the drama,ドラマに出演できますように,I hope you can appear in the drama,我希望你能出现在戏剧中,드라마에 나타날 수 있기를 바랍니다,🇬🇹,2025-05-04 23:52:11
41-50,女性,ドイツ,,"Ich hoffe, Sie können das Praktikum bestehen",インターンに合格できますように,I hope you can pass the internship,我希望你能通过实习,인턴쉽을 통과 할 수 있기를 바랍니다,🇩🇪,2025-05-04 23:52:11
31-40,女性,韓国,,신뢰할 수있는 친구를 만들 수 있기를 바랍니다,信頼できる友達ができますように,I hope you can make trustworthy friends,我希望你能结交可信赖的朋友,신뢰할 수있는 친구를 만들 수 있기를 바랍니다,🇰🇷,2025-05-04 23:52:11
70-,女性,韓国,,지역 활성화가 전국에 퍼지기를 바랍니다,地方創生が全国に波及しますように,May regional revitalization spread throughout the country,可能会在全国范围内传播区域振兴,지역 활성화가 전국에 퍼지기를 바랍니다,🇰🇷,2025-05-04 23:52:11
70-,男性,日本,愛媛県,多様性が尊重される社会になりますように,多様性が尊重される社会になりますように,I hope that a society is respected in diversity,我希望一个社会在多样性中受到尊重,나는 사회가 다양성에서 존중되기를 바랍니다,🇯🇵,2025-05-04 23:52:11
